Description,Price,Rating,Product URL
Tassyam Himalayan Rock Salt Powder 150g | Dispenser Bottle,₹170,4.0 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0171813I4Y4VUY2IWA4&url=%2FTassyam-Himalayan-Powder-Dispenser-Bottle%2Fdp%2FB07FKNDYFR%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-1-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_atf
Tassyam Pink Himalayan Rock Salt Whole 900 Grams | Namak,₹349,4.0 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0171969195R1LFIEHY43&url=%2FTassyam-Himalayan-Whole-Grams-Namak%2Fdp%2FB073RCXNBN%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-2-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_atf
"Tata Rock Salt - Pink, 200g",₹27,4.4 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03704882CEBCJUBVHTWS&url=%2FTata-Rock-Salt-200g%2Fdp%2FB07BH3LLP2%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-3-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_atf
Saaral Himalayan Rock Salt Crystal - 500gms(Pack of 2),₹220,1.0 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A076962014S04ZT8JJABM&url=%2FSaaral-Himalayan-Rock-Salt-Crystal%2Fdp%2FB08TLTWVR4%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-4-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_atf
"Aashirvaad Salt,with 4-Step Advantage, 1kg",₹20,4.5 out of 5 stars,https://www.amazon.in/Aashirvaad-Salt-Iodised-1kg-Bag/dp/B00PCCMDGA/ref=sr_1_6?dchild=1&keywords=salt&qid=1627296515&sr=8-6
"Tata Salt, 1kg",₹18,4.6 out of 5 stars,https://www.amazon.in/Tata-Salt-1kg/dp/B01HBF5WBI/ref=sr_1_7?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-7
"Tata Salt Lite, Low Sodium, 1kg",₹38,4.6 out of 5 stars,https://www.amazon.in/Tata-Salt-Lite-Low-Sodium/dp/B07575J87H/ref=sr_1_8?dchild=1&keywords=salt&qid=1627296515&sr=8-8
"Aashirvaad Salt - Iodised, 1kg Bag",₹17,4.4 out of 5 stars,https://www.amazon.in/Aashirvaad-Salt-Iodised-Bag/dp/B01CHVJ0IW/ref=sr_1_10?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-10
"Urban Platter Pink Himalayan Rock Salt Powder Jar, 1.5kg",₹370,4.3 out of 5 stars,https://www.amazon.in/Urban-Platter-Himalayan-Powder-1-25kg/dp/B071WQJK4X/ref=sr_1_11?dchild=1&keywords=salt&qid=1627296515&smid=AT95IG9ONZD7S&sr=8-11
"Tata Salt Lite, Low Sodium, 1kg",₹34,4.6 out of 5 stars,https://www.amazon.in/Tata-Salt-Lite-Low-Sodium/dp/B01HBEUAI4/ref=sr_1_12?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-12
"Puro Healthy Salt, 1Kg",₹99,4.5 out of 5 stars,https://www.amazon.in/Puro-Healthy-Salt-1Kg/dp/B07BF2J6XS/ref=sr_1_13?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-13
"Tata Rock Salt - Pink, 200g",₹27,4.4 out of 5 stars,https://www.amazon.in/Tata-Rock-Salt-200g/dp/B07BH3LLP2/ref=sr_1_14?dchild=1&keywords=salt&qid=1627296515&sr=8-14
"Tata Salt Superlite, 1kg",₹48,4.5 out of 5 stars,https://www.amazon.in/Tata-Salt-Superlite-1kg/dp/B095DFTLZ4/ref=sr_1_15?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-15
"Chef Urbano Himalayan Pink Salt Pouch, 1000 g",₹174,4.2 out of 5 stars,https://www.amazon.in/Chef-Urbano-Himalayan-Pink-Salt/dp/B0777L8Q75/ref=sr_1_16?dchild=1&keywords=salt&qid=1627296515&smid=AT95IG9ONZD7S&sr=8-16
"Tata Rock Salt, 500g",₹48,4.4 out of 5 stars,https://www.amazon.in/Tata-Rock-Salt-500g/dp/B078SFTDTY/ref=sr_1_17?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-17
"Catch Sprinklers Black Salt, 200g",₹40.50,4.5 out of 5 stars,https://www.amazon.in/Catch-Sprinklers-Black-Salt-200g/dp/B01CHVJA5A/ref=sr_1_19?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-19
"Catch Sprinkles Black Salt, 200g",₹45,4.5 out of 5 stars,https://www.amazon.in/Catch-Sprinkles-Black-Salt-200g/dp/B00H41JFCW/ref=sr_1_20?dchild=1&keywords=salt&qid=1627296515&sr=8-20
"Keya Himalayan Pink Salt , 1kg Pack",₹186,4.3 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04832163R75AP7P705TP&url=%2FKeya-Himalayan-Pink-Salt-Pack%2Fdp%2FB07NQD58L4%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26smid%3DAJE3RW5FMGT9X%26sr%3D8-21-spons%26psc%3D1%26smid%3DAJE3RW5FMGT9X&qualifier=1627296515&id=8767562264393753&widgetName=sp_mtf
Blaze Spices Rock Salt (Bze4_Black_1kg),₹170,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A054944518Y43PROK6IEP&url=%2FBlaze-Spices-Rock-Salt-Bze4_Black_1kg%2Fdp%2FB09B2G7K6K%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-22-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_mtf
"By Nature Himalayan Pink Salt, 400G",₹150,4.2 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08081651YWPUMKDE3MAZ&url=%2FNature-Himalayan-Pink-Salt-400g%2Fdp%2FB074PVFRGK%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-23-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_mtf
Green Sense Natural Black Salt Crystal with Crusher - 125 gm x 2 | Pack of 2,₹247,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02240401CZYWSQE16XE&url=%2FGreen-Sense-Natural-Crystal-Crusher%2Fdp%2FB08RNHCWCS%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-24-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_mtf
"Malikaz' Himalayan Rock Salt Powder ( Pink ) Pouch, 1 Kg",₹99,4.2 out of 5 stars,https://www.amazon.in/Malikaz-Himalayan-Rock-Powder-Pouch/dp/B08QFPB1PH/ref=sr_1_25?dchild=1&keywords=salt&qid=1627296515&sr=8-25
"NATURESMITH Sachet IODISED Salt, 250 PCS",₹125,4.4 out of 5 stars,https://www.amazon.in/Nature-Smith-Iodised-Sachet-Pieces/dp/B07YP8PG39/ref=sr_1_26?dchild=1&keywords=salt&qid=1627296515&sr=8-26
"Keya Himalayan Pink Salt , 1kg Pack",₹186,4.3 out of 5 stars,https://www.amazon.in/Keya-Himalayan-Pink-Salt-Pack/dp/B07NQD58L4/ref=sr_1_27?dchild=1&keywords=salt&qid=1627296515&smid=AJE3RW5FMGT9X&sr=8-27
"Amazon Brand - Vedaka Pink Rock Salt Powder (Sendha namak), 500g",₹51,3.9 out of 5 stars,https://www.amazon.in/Vedaka-Pink-Rock-Salt-Powder/dp/B07KXGH2NB/ref=sr_1_28?dchild=1&keywords=salt&qid=1627296515&sr=8-28
"Tata Rock Salt, 500g Pouch",₹61,4.5 out of 5 stars,https://www.amazon.in/Tata-Rock-Salt-500g-Pouch/dp/B07HDBSB3B/ref=sr_1_29?dchild=1&keywords=salt&qid=1627296515&sr=8-29
ORGANIC INDIA Pink Rock Salt - 1Kg Packet,₹140,4.3 out of 5 stars,https://www.amazon.in/ORGANIC-INDIA-Packet-Sendha-Namak/dp/B07MH7LFWX/ref=sr_1_30?dchild=1&keywords=salt&qid=1627296515&sr=8-30
"Conscious Food Sea Salt [Pack of 4 x 500 GMS], Organic Sea Salt, Aids Digestion, Flatulence, Rich in Iodine, Potassium, Magnesium, Unprocessed Table Salt",₹156,4.5 out of 5 stars,https://www.amazon.in/Conscious-Food-Organic-Salt-500g/dp/B00M54IYWU/ref=sr_1_31?dchild=1&keywords=salt&qid=1627296515&sr=8-31
Indian Non Iodised Sea Salt 1000grams Cont Traditionally Made 100% Natural,₹139.10,4.3 out of 5 stars,https://www.amazon.in/Thanjai-Natural-Indian-Non-Iodised-Salt/dp/B07PV1PCPD/ref=sr_1_32?dchild=1&keywords=salt&qid=1627296515&sr=8-32
"Chef Urbano Himalayan Pink Salt Pouch, 500 g",₹116,4.2 out of 5 stars,https://www.amazon.in/Chef-Urbano-Himalayan-Pink-Salt/dp/B06Y144KC2/ref=sr_1_33?dchild=1&keywords=salt&qid=1627296515&sr=8-33
Natureland Organics Himalayan Pink Rock Salt 1 KG (Pack of 3)- Organic Rock Salt,₹250,4.2 out of 5 stars,https://www.amazon.in/Natureland-Organics-Himalayan-Pink-Organic/dp/B081T7P5HB/ref=sr_1_34?dchild=1&keywords=salt&qid=1627296515&smid=AT95IG9ONZD7S&sr=8-34
"Saffola Salt Plus, Less Sodium, 1kg Pack",₹35,4.4 out of 5 stars,https://www.amazon.in/Saffola-Salt-1-kg/dp/B01GO13MQM/ref=sr_1_35?dchild=1&fpw=pantry&keywords=salt&qid=1627296515&s=pantry&sr=8-35
"Tata Rock Salt, 1 kg",₹120,3.7 out of 5 stars,https://www.amazon.in/Tata-Rock-Salt-1-kg/dp/B086B25X6L/ref=sr_1_36?dchild=1&keywords=salt&qid=1627296515&sr=8-36
"Organic Tattva Natural Rock Salt, 500g",₹50,4.3 out of 5 stars,https://www.amazon.in/Organic-Tattva-Natural-Rock-Salt/dp/B00M57X0IA/ref=sr_1_37?dchild=1&keywords=salt&qid=1627296515&sr=8-37
